elapsedTimeNanoSec, speed, direction
15469,-0.0,0.0
57953437,-0.0,0.0
58471458,-0.0,0.0
70304271,-0.0,0.0
71044635,-0.0,0.0
81822656,-0.0,0.0
82285625,-0.0,0.0
92846041,-0.0,0.0
93344583,-0.0,0.0
103543177,-0.0,0.0
104146875,-0.0,0.0
114400000,-0.0,0.0
115064062,-0.0,0.0
124850469,-0.0,0.0
125516562,-0.0,0.0
137133698,-0.0,0.0
137420364,-0.0,0.0
147773594,-0.0,0.0
148046771,-0.0,0.0
158327656,-0.0,0.0
158814739,-0.0,0.0
169136198,-0.0,0.0
169436562,-0.0,0.0
179875729,-0.0,0.0
180141927,-0.0,0.0
190550260,-0.0,0.0
190903333,-0.0,0.0
201305573,-0.0,0.0
201590260,-0.0,0.0
211850573,-0.0,0.0
212168854,-0.0,0.0
222393333,-0.0,0.0
222735833,-0.0,0.0
233382500,-0.0,0.0
233770521,-0.0,0.0
244010625,-0.0,0.0
244441719,-0.0,0.0
254616302,-0.0,0.0
255217864,-0.0,0.0
265726719,-0.0,0.0
266320937,-0.0,0.0
276199271,-0.0,0.0
277143958,-0.0,0.0
286969010,-0.0,0.0
287548073,-0.0,0.0
297940937,-0.0,0.0
298236354,-0.0,0.0
309390052,-0.0,0.0
309766302,-0.0,0.0
319736198,-0.0,0.0
320164739,-0.0,0.0
330048125,-0.0,0.0
330534375,-0.0,0.0
340867031,-0.0,0.0
341251302,-0.0,0.0
351343489,-0.0,0.0
351687760,-0.0,0.0
361681823,-0.0,0.0
362071562,-0.0,0.0
372027812,-0.0,0.0
372426823,-0.0,0.0
382456614,-0.0,0.0
382733073,-0.0,0.0
392918385,-0.0,0.0
393338593,-0.0,0.0
403228229,-0.0,0.0
403738021,-0.0,0.0
413672343,-0.0,0.0
414124687,-0.0,0.0
423997864,-0.0,0.0
424525156,-0.0,0.0
434319271,-0.0,0.0
434945833,-0.0,0.0
444947500,-0.0,0.0
445286927,-0.0,0.0
455576718,-0.0,0.0
456331927,-0.0,0.0
466367083,-0.0,0.0
467460989,-0.0,0.0
477080521,-0.0,0.0
477918698,-0.0,0.0
487602968,-0.0,0.0
488357239,-0.0,0.0
498103698,-0.0,0.0
498734635,-0.0,0.0
508422239,-0.0,0.0
509303125,-0.0,0.0
518980573,-0.0,0.0
519735156,-0.0,0.0
529333437,-0.0,0.0
530353385,-0.0,0.0
539833125,-0.0,0.0
540789583,-0.0,0.0
550229843,-0.0,0.0
551327083,-0.0,0.0
560999791,-0.0,0.0
561934948,-0.0,0.0
571380625,-0.0,0.0
572315573,-0.0,0.0
581677187,-0.0,0.0
582719583,-0.0,0.0
592096927,-0.0,0.0
593113489,-0.0,0.0
602453489,-0.0,0.0
603793541,-0.0,0.0
613038177,-0.0,0.0
614275208,-0.0,0.0
624105833,-0.0,0.0
624800520,-0.0,0.0
634667552,-0.0,0.0
635241250,-0.0,0.0
645154791,-0.0,0.0
645851406,-0.0,0.0
656087500,-0.0,0.0
656399323,-0.0,0.0
666874635,-0.0,0.0
667238229,-0.0,0.0
677361875,-0.0,0.0
677724895,-0.0,0.0
688442916,-0.0,0.0
688811093,-0.0,0.0
